{http://www.deegree.org/app}abs,{http://www.deegree.org/app}strassenart,{http://www.deegree.org/app}strassennummer,{http://www.deegree.org/app}strasse,{http://www.deegree.org/app}strassenname,{http://www.deegree.org/app}landesschluessel,{http://www.deegree.org/app}gemeindeschluessel,{http://www.deegree.org/app}kreisschluessel,{http://www.deegree.org/app}abschnittslaenge,{http://www.deegree.org/app}laengenherkunft,{http://www.deegree.org/app}ast,{http://www.deegree.org/app}europastrasse,{http://www.deegree.org/app}geom,CRS
252700005M 252700005N,A,25,A 25,BAB A25,2,603,6,507.0,,0,,"LINESTRING (10.205396 53.475201,10.205576 53.475234,10.205661 53.475242,10.205748 53.475248)",EPSG:4326
252700005M 252700005N,A,25,A 25,BAB A25,2,603,6,507.0,,0,,"LINESTRING (10.205748 53.475248,10.205838 53.475255,10.206009 53.475259,10.206170 53.475255,10.206329 53.475242,10.206472 53.475213,10.206612 53.475163,10.206735 53.475100,10.206828 53.475025,10.206887 53.474943,10.206916 53.474859,10.206925 53.474778,10.206914 53.474742)",EPSG:4326
252700005M 252700005N,A,25,A 25,BAB A25,2,604,6,507.0,,0,,"LINESTRING (10.206914 53.474742,10.206898 53.474686,10.206832 53.474598,10.206739 53.474517,10.206675 53.474479,10.206566 53.474429,10.206453 53.474398,10.206317 53.474373,10.206169 53.474363,10.206025 53.474366,10.205918 53.474371,10.205766 53.474387,10.205758 53.474389)",EPSG:4326
252700005M 252700005N,A,25,A 25,BAB A25,2,604,6,507.0,,0,,"LINESTRING (10.205758 53.474389,10.205601 53.474421)",EPSG:4326
252700005M 252700005N,A,25,A 25,BAB A25,2,604,6,507.0,,0,,"LINESTRING (10.205601 53.474421,10.205598 53.474422,10.205379 53.474471,10.205170 53.474504)",EPSG:4326
252600103M 252600103N,A,25,A 25,BAB A25,2,610,6,455.0,,0,,"LINESTRING (10.116587 53.486326,10.116614 53.486316,10.116768 53.486251,10.116956 53.486155,10.117080 53.486070,10.117164 53.486005,10.117236 53.485928,10.117274 53.485843,10.117293 53.485762,10.117282 53.485663,10.117228 53.485561,10.117129 53.485476,10.117009 53.485414,10.116924 53.485383,10.116819 53.485355,10.116677 53.485339,10.116630 53.485336)",EPSG:4326
252600103M 252600103N,A,25,A 25,BAB A25,2,610,6,455.0,,0,,"LINESTRING (10.116630 53.485336,10.116509 53.485330)",EPSG:4326
252600103M 252600103N,A,25,A 25,BAB A25,2,610,6,455.0,,0,,"LINESTRING (10.116509 53.485330,10.116491 53.485329,10.116320 53.485331,10.116011 53.485343)",EPSG:4326
242600001G 242600001H,A,255,A 255,BAB A255,2,137,1,2628.0,,0,,"LINESTRING (10.057001 53.509471,10.053665 53.509556,10.052932 53.509590,10.049203 53.509675,10.047447 53.509718,10.046531 53.509738,10.046377 53.509743,10.046092 53.509751,10.045759 53.509775,10.045172 53.509812,10.044733 53.509835,10.044244 53.509853,10.043176 53.509878,10.042346 53.509892,10.041633 53.509895,10.041094 53.509893,10.040627 53.509875,10.040135 53.509852,10.039133 53.509797,10.038859 53.509783,10.038503 53.509777,10.038120 53.509786,10.037879 53.509806,10.037645 53.509831,10.037476 53.509857,10.037249 53.509891,10.037025 53.509938,10.036683 53.510029,10.036380 53.510128,10.035911 53.510321,10.035551 53.510508,10.035289 53.510672,10.035073 53.510830,10.034860 53.511017,10.034649 53.511226,10.033293 53.512725,10.033025 53.513032,10.032236 53.513923,10.031852 53.514345,10.031188 53.514996,10.030817 53.515376,10.029617 53.516658,10.028690 53.517640,10.028595 53.517742)",EPSG:4326
242600001G 242600001H,A,255,A 255,BAB A255,2,137,1,2628.0,,0,,"LINESTRING (10.028595 53.517742,10.028527 53.517815,10.028290 53.518038,10.027641 53.518745,10.027320 53.519109,10.026989 53.519489,10.026713 53.519776)",EPSG:4326
